Title,Description,Language,Creator,Provider,Resource Class ,Resource Type,Theme,Temporal Coverage,Date Issued,Index Year,Spatial Coverage,Member Of,Geometry,Bounding Box,Rights,Access Rights,Format,Information,Download,ID,Identifier,Modified,Metadata Version,Suppressed
"""Access to Work, Milwaukee, Wisconsin, 2010-2016""","""This flat map, prepared in November of 2018 by Data You Can Use, presents the percent of employed population with a commute time great or equal to 45 minutes by census tract for the City of Milwaukee from 2012-2016. The map utilizes data from the 2012-2016 American Community Survey 5-year estimate, and 2010 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Maps""]","[""Cartographic Materials"", ""Digital Maps""]","[""Society""]","[""2012-2016""]","""2018""","[2012, 2013, 2014, 2015, 2016]","[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgs0cfxprf"", ""ark:-77981-gmgs5x69pwb""] ","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""PDF""","""ark:-77981-gmgssqv9vg5""",Milwaukee_CommuteTime_2012-2016.zip,"""ark:-77981-gmgssqv9vg5""","[""ark:/77981/gmgssqv9vg5""]",,"""Aardvark""",false
"""Voter Turnout in 2016 Election, Milwaukee, Wisconsin, 2016""","""This tflat map, prepared in November 2018 by Data You Can Use, presents the percent of registered votes who cast a ballot in the 2016 Presidential election by voter ward for the City of Milwaukee. The data is sourced from the City of Milwaukee Election Commission. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Maps""]","[""Cartographic Materials"", ""Digital Maps""]","[""Society""]","[""2016""]","""2018""",[2016],"[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgs0cfxprf"", ""ark:-77981-gmgs5x69pwb""] ","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""PDF""","""ark:-77981-gmgsnzs7k3g""",Milwaukee_VoterTurnout_2016.zip,"""ark:-77981-gmgsnzs7k3g""","[""ark:/77981/gmgsnzs7k3g""]",,"""Aardvark""",false
"""Racial Diversity, Milwaukee, Wisconsin, 2010-2016""","""This flat map, prepared in November of 2018 by Data You Can Use, presents the Diversity Index Score by census tract for the City of Milwaukee from 2012-2016. The map utilizes data from the 2012-2016 American Community Survey 5-year estimate, and 2010 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Maps""]","[""Cartographic Materials"", ""Digital Maps""]","[""Society""]","[""2012-2016""]","""2018""","[2012, 2013, 2014, 2015, 2016]","[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgs0cfxprf"", ""ark:-77981-gmgs5x69pwb""] ","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""PDF""","""ark:-77981-gmgssj6q58qn""",Milwaukee_DiversityIndex_2012-2016.zip,"""ark:-77981-gmgssj6q58qn""","[""ark:/77981/gmgssj6q58qn""]",,"""Aardvark""",false
"""Data You Can Use Health Indicator Maps, Milwaukee, Wisconsin, 2019""","""These flat maps, prepared in June and August of 2019 by Data You Can Use, present health indicators for the City of Milwaukee. All maps use 2010 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Collections""]","[""Cartographic Materials"", ""Digital Maps""]","[""Society"", ""Health""]","[""2012-2016""]","""2019""","[2012, 2013, 2014, 2015, 2016]","[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgs0cfxprf""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""",,"""ark:-77981-gmgsdfn30bz""",,"""ark:-77981-gmgsdfn30bz""","[""ark:/77981/gmgsdfn30bz""]",,"""Aardvark""",false
"""Housing Units Built Before 1950, Milwaukee, Wisconsin, 2010-2016""","""This flat map, prepared in June of 2019 by Data You Can Use, present the percent of housing units built before 1950 by census tract for the City of Milwaukee. The map utilizes data from the 2012-2016 American Community Survey 5-year Estimate, the Health Compass Milwaukee's Community Dashboard on Environment/Toxic Chemicals, and 2010 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Maps""]","[""Cartographic Materials"", ""Digital Maps""]","[""Society"", ""Health""]","[""2012-2016""]","""2019""","[2012, 2013, 2014, 2015, 2016]","[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgs0cfxprf"", ""ark:-77981-gmgsdfn30bz""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""PDF""","""ark:-77981-gmgs8pk0pz8""",Milwaukee_Pre-1950Housing_2012-2016.zip,"""ark:-77981-gmgs8pk0pz8""","[""ark:/77981/gmgs8pk0pz8""]",,"""Aardvark""",false
"""Prevalence of Asthma, Milwaukee, Wisconsin, 2016""","""This flat map, prepared in August of 2019 by Data You Can Use, presents the prevalance of asthma among adults by census tract for the City of Milwaukee in 2016. The map uses data from the Centers for Disease Control and Prevention, the National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health, and 2010 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Maps""]","[""Cartographic Materials"", ""Digital Maps""]","[""Society"", ""Health""]","[""2016""]","""2019""",[2016],"[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgs0cfxprf"", ""ark:-77981-gmgsdfn30bz""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""PDF""","""ark:-77981-gmgs4xgxdmp""",Milwaukee_Asthma_2016.zip,"""ark:-77981-gmgs4xgxdmp""","[""ark:/77981/gmgs4xgxdmp""]",,"""Aardvark""",false
"""Prevalence of Obesity, Milwaukee, Wisconsin, 2016""","""This flat map, prepared in August of 2019 by Data You Can Use, presents the prevalance of obesity among adults by census tract for the City of Milwaukee in 2016. The map uses data from the Centers for Disease Control and Prevention, the National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health, and 2010 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Maps""]","[""Cartographic Materials"", ""Digital Maps""]","[""Society"", ""Health""]","[""2016""]","""2019""",[2016],"[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgs0cfxprf"", ""ark:-77981-gmgsdfn30bz""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""PDF""","""ark:-77981-gmgs189324z""",Milwaukee_Obesity_2016.zip,"""ark:-77981-gmgs189324z""","[""ark:/77981/gmgs189324z""]",,"""Aardvark""",false
"""Mental Health Indicators, Milwaukee, Wisconsin, 2016""","""This flat map, prepared in August of 2019 by Data You Can Use, presents the prevalance of adults who reported mental health was poor for 14 days or more by census tract for the City of Milwaukee in 2016. The map uses data from the Centers for Disease Control and Prevention, the National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health, and 2010 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Maps""]","[""Cartographic Materials"", ""Digital Maps""]","[""Society"", ""Health""]","[""2016""]","""2019""",[2016],"[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgs0cfxprf"", ""ark:-77981-gmgsdfn30bz""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""PDF""","""ark:-77981-gmgswh70vjh""",Milwaukee_MentalHealth_2016.zip,"""ark:-77981-gmgswh70vjh""","[""ark:/77981/gmgswh70vjh""]",,"""Aardvark""",false
"""Access to Dental Care, Milwaukee, Wisconsin, 2016""","""This flat map, prepared in August of 2019 by Data You Can Use, presents the prevalance of adults who reported visiting a dentist or dental clinic in the previous year by census tract for the City of Milwaukee in 2016. The map uses data from the Centers for Disease Control and Prevention, the National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health, and 2010 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Maps""]","[""Cartographic Materials"", ""Digital Maps""]","[""Society"", ""Health""]","[""2016""]","""2019""",[2016],"[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgs0cfxprf"", ""ark:-77981-gmgsdfn30bz""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""PDF""","""ark:-77981-gmgswdbrxmc""",Milwaukee_DentalVisits_2016.zip,"""ark:-77981-gmgswdbrxmc""","[""ark:/77981/gmgswdbrxmc""]",,"""Aardvark""",false
,,,,,,,,,,,,,,,,,,,,,,,,
