Title,Description,Language,Creator,Provider,Resource Class,Resource Type,Theme,Date Issued,Temporal Coverage,Index Year,Spatial Coverage,Geometry,Bounding Box,Member Of,Rights,Access Rights,Format,ID,Identifier,Information,Download,Metadata Version,Suppressed
"Access to Healthy Food Milwaukee, Wisconsin 2022","This tabular data, prepared by Data You Can Use, presents food insecurity prevalence among adults age 18 and older by census tract in the city of Milwaukee, Wisconsin. The data is sourced from CDC PLACES. This 2025 indicator uses a different source and measure than prior Access to Healthy Food records and should not be treated as directly comparable to earlier releases.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2022,2022,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Black Population Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents the percent of Black or African American residents by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Asian Population Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents the percent of Asian residents by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Latinx Population Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents the percent of Latinx or Hispanic residents by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"White Population Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents the percent of White residents by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Vacancy Rate Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents the percent of housing units that are vacant by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Homeownership Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents the percent of occupied housing units that are owner-occupied by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Access to Basic Needs Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents the percent of households below poverty level by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Access to Employment Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents travel time to work by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Diversity Index Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents a measure of racial diversity by census tract in the city of Milwaukee, Wisconsin. The data uses a modified Simpson's Diversity Index and is sourced from the 2019-2023 American Community Survey 5-year estimates.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Housing Units Built Prior to 1950 Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents the percent of housing units built prior to 1950 by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Asthma Milwaukee, Wisconsin 2022","This tabular data, prepared by Data You Can Use, presents asthma prevalence among adults age 18 and older by census tract in the city of Milwaukee, Wisconsin. The data is sourced from CDC PLACES.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2022,2022,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Obesity Milwaukee, Wisconsin 2022","This tabular data, prepared by Data You Can Use, presents obesity prevalence among adults age 18 and older by census tract in the city of Milwaukee, Wisconsin. The data is sourced from CDC PLACES.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2022,2022,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Mental Health Milwaukee, Wisconsin 2022","This tabular data, prepared by Data You Can Use, presents the prevalence of adults age 18 and older who reported mental health was not good for 14 or more days by census tract in the city of Milwaukee, Wisconsin. The data is sourced from CDC PLACES.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2022,2022,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Visits to Dentist or Dental Clinic Milwaukee, Wisconsin 2022","This tabular data, prepared by Data You Can Use, presents the prevalence of adults age 18 and older who reported visiting a dentist or dental clinic in the last year by census tract in the city of Milwaukee, Wisconsin. The data is sourced from CDC PLACES.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2022,2022,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
